,date,prescribing_rate,model_region
21628,2015-04-01,1.785842538,South West
21637,2015-05-01,1.772276402,South West
21646,2015-06-01,1.768580914,South West
21655,2015-07-01,1.7628721,South West
21664,2015-08-01,1.758019447,South West
21673,2015-09-01,1.750756025,South West
21682,2015-10-01,1.743464589,South West
21691,2015-11-01,1.74114418,South West
21700,2015-12-01,1.714904666,South West
21709,2016-01-01,1.672430515,South West
21718,2016-02-01,1.670890331,South West
21727,2016-03-01,1.670003891,South West
21736,2016-04-01,1.671738029,South West
21745,2016-05-01,1.670094609,South West
21754,2016-06-01,1.666183233,South West
21763,2016-07-01,1.661776662,South West
21772,2016-08-01,1.666610599,South West
21781,2016-09-01,1.6645751,South West
21790,2016-10-01,1.657731414,South West
21799,2016-11-01,1.665961623,South West
21808,2016-12-01,1.669089317,South West
21817,2017-01-01,1.66,South West
21826,2017-02-01,1.65,South West
21835,2017-03-01,1.64,South West
21844,2017-04-01,1.62,South West
21853,2017-05-01,1.62,South West
21862,2017-06-01,1.62,South West
21871,2017-07-01,1.62,South West
21880,2017-08-01,1.62,South West
21889,2017-09-01,1.62,South West
21898,2017-10-01,1.62,South West
21907,2017-11-01,1.61,South West
21916,2017-12-01,1.6,South West
21925,2018-01-01,1.6,South West
21934,2018-02-01,1.59,South West
21943,2018-03-01,1.58,South West
21952,2018-04-01,1.59,South West
21961,2018-05-01,1.58,South West
21970,2018-06-01,1.57,South West
21979,2018-07-01,1.56,South West
21988,2018-08-01,1.55,South West
21997,2018-09-01,1.54,South West
22006,2018-10-01,1.54,South West
22015,2018-11-01,1.53,South West
22024,2018-12-01,1.52,South West
22033,2019-01-01,1.49,South West
22042,2019-02-01,1.49,South West
22051,2019-03-01,1.48,South West
22060,2019-04-01,1.47,South West
22069,2019-05-01,1.47,South West
22078,2019-06-01,1.46,South West
22087,2019-07-01,1.46,South West
22096,2019-08-01,1.46,South West
22105,2019-09-01,1.46,South West
22114,2019-10-01,1.45,South West
22123,2019-11-01,1.45,South West
22132,2019-12-01,1.46,South West
22141,2020-01-01,1.45,South West
22150,2020-02-01,1.45,South West
22159,2020-03-01,1.45,South West
22168,2020-04-01,1.45,South West
22177,2020-05-01,1.42,South West
22186,2020-06-01,1.41,South West
22195,2020-07-01,1.39,South West
22204,2020-08-01,1.37,South West
22213,2020-09-01,1.36,South West
22222,2020-10-01,1.34,South West
22231,2020-11-01,1.32,South West
22240,2020-12-01,1.28,South West
22249,2021-01-01,1.22,South West
22258,2021-02-01,1.19,South West
22267,2021-03-01,1.16,South West
22276,2021-04-01,1.14,South West
22285,2021-05-01,1.14,South West
22294,2021-06-01,1.15,South West
22303,2021-07-01,1.16,South West
22312,2021-08-01,1.17,South West
22321,2021-09-01,1.18,South West
22330,2021-10-01,1.19,South West
22339,2021-11-01,1.22,South West
22348,2021-12-01,1.25,South West
22357,2022-01-01,1.25,South West
22366,2022-02-01,1.26,South West
22375,2022-03-01,1.28,South West
22384,2022-04-01,1.3,South West
22393,2022-05-01,1.32,South West
22402,2022-06-01,1.33,South West
22411,2022-07-01,1.34,South West
22420,2022-08-01,1.35,South West
22429,2022-09-01,1.35,South West
22438,2022-10-01,1.35,South West
22447,2022-11-01,1.36,South West
22456,2022-12-01,1.42,South West
22465,2023-01-01,1.46,South West
22474,2023-02-01,1.49,South West
22483,2023-03-01,1.51,South West
22492,2023-04-01,1.51,South West
22501,2023-05-01,1.52,South West
22510,2023-06-01,1.52,South West
22519,2023-07-01,1.52,South West
22528,2023-08-01,1.52,South West
22537,2023-09-01,1.52,South West
22546,2023-10-01,1.52,South West
22555,2023-11-01,1.52,South West
22564,2023-12-01,1.47,South West
22573,2024-01-01,1.46,South West
22582,2024-02-01,1.46,South West
22591,2024-03-01,1.45,South West
22600,2024-04-01,1.46,South West
22609,2024-05-01,1.47,South West
22618,2024-06-01,1.47,South West
22627,2024-07-01,1.47,South West
22636,2024-08-01,1.46,South West
22645,2024-09-01,1.45,South West
22654,2024-10-01,1.45,South West
22663,2024-11-01,1.44,South West
22672,2024-12-01,1.44,South West
22681,2025-01-01,1.43,South West
22690,2025-02-01,1.41,South West
22699,2025-03-01,1.4,South West
22708,2025-04-01,1.38,South West
22717,2025-05-01,1.35,South West
22726,2025-06-01,1.35,South West
